series,episode,first_name,last_name,baker_age,hometown,technical,result,signature_bake,show_stopper,baker_occupation
1,1,Annetha,Mills,30,Essex,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Midwife
1,1,David,Chambers,31,Milton Keynes,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",Entrepreneur
1,1,Edd,Kimber,24,Bradford,1,IN,Caramel Cinnamon and Banana Cake,N/A,Debt collector for Yorkshire Bank
1,1,Jasminder,Randhawa,45,Birmingham,NA,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,Assistant Credit Control Manager
1,1,Jonathan,Shepherd,25,St Albans,9,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,Research Analyst
1,1,Lea,Harris,51,"Midlothian, Scotland",10,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,Retired
1,1,Louise,Brimelow,44,Manchester,NA,IN,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",Police Officer
1,1,Mark,Whithers,48,South Wales,NA,OUT,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,Bus Driver
1,1,Miranda,Browne,37,"Midhurst, West Sussex",8,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,Food buyer for Marks & Spencer
1,1,Ruth,Clemens,31,"Poynton, Cheshire",NA,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,Retail manager/Housewife
1,2,Annetha,Mills,30,Essex,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,Midwife
1,2,David,Chambers,31,Milton Keynes,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,Entrepreneur
1,2,Edd,Kimber,24,Bradford,6,IN,Oatmeal Raisin Cookie,Pink Macarons,Debt collector for Yorkshire Bank
1,2,Jasminder,Randhawa,45,Birmingham,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,Assistant Credit Control Manager
1,2,Jonathan,Shepherd,25,St Albans,1,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,Research Analyst
